年,週,就診類別,年齡別,county,NHIAcute,健保就診總人次
2008,14,住院,0-4,台中市,0,181
2008,14,住院,0-4,台北市,7,263
2008,14,住院,0-4,台東縣,0,17
2008,14,住院,0-4,台南市,0,27
2008,14,住院,0-4,宜蘭縣,0,74
2008,14,住院,0-4,花蓮縣,0,24
2008,14,住院,0-4,金門縣,0,6
2008,14,住院,0-4,南投縣,0,2
2008,14,住院,0-4,屏東縣,0,23
2008,14,住院,0-4,苗栗縣,0,1
2008,14,住院,0-4,桃園市,0,212
2008,14,住院,0-4,高雄市,0,133
2008,14,住院,0-4,基隆市,0,24
2008,14,住院,0-4,雲林縣,0,4
2008,14,住院,0-4,新北市,0,74
2008,14,住院,0-4,新竹市,1,65
2008,14,住院,0-4,新竹縣,0,13
2008,14,住院,0-4,嘉義市,0,31
2008,14,住院,0-4,嘉義縣,0,36
2008,14,住院,0-4,彰化縣,6,153
2008,14,住院,15-24,台中市,0,171
2008,14,住院,15-24,台北市,1,223
2008,14,住院,15-24,台東縣,0,7
2008,14,住院,15-24,台南市,0,48
2008,14,住院,15-24,宜蘭縣,0,25
2008,14,住院,15-24,花蓮縣,0,21
2008,14,住院,15-24,金門縣,1,4
2008,14,住院,15-24,南投縣,0,9
2008,14,住院,15-24,屏東縣,0,38
2008,14,住院,15-24,苗栗縣,0,17
2008,14,住院,15-24,桃園市,0,130
2008,14,住院,15-24,高雄市,0,110
2008,14,住院,15-24,基隆市,0,14
2008,14,住院,15-24,連江縣,0,3
2008,14,住院,15-24,雲林縣,0,15
2008,14,住院,15-24,新北市,0,103
2008,14,住院,15-24,新竹市,0,19
2008,14,住院,15-24,新竹縣,0,8
2008,14,住院,15-24,嘉義市,0,14
2008,14,住院,15-24,嘉義縣,0,14
2008,14,住院,15-24,彰化縣,1,78
2008,14,住院,25-64,台中市,0,1578
2008,14,住院,25-64,台北市,12,2529
2008,14,住院,25-64,台東縣,0,104
2008,14,住院,25-64,台南市,0,594
2008,14,住院,25-64,宜蘭縣,0,263
2008,14,住院,25-64,花蓮縣,1,214
2008,14,住院,25-64,金門縣,0,16
2008,14,住院,25-64,南投縣,0,84
2008,14,住院,25-64,屏東縣,0,280
2008,14,住院,25-64,苗栗縣,0,72
2008,14,住院,25-64,桃園市,0,1238
